
running 75 tests
test feature_1_utf16_explicit ... FAILED
test feature_20_no_filename ... FAILED
test feature_243_column_line ... FAILED
test feature_263_sort_files ... ok
test feature_275_pathsep ... FAILED
test feature_34_only_matching ... FAILED
test feature_34_only_matching_line_column ... FAILED
test feature_362_dfa_size_limit ... ok
test feature_362_exceeds_regex_size_limit ... ok
test feature_419_zero_as_shortcut_for_null ... FAILED
test feature_45_precedence_internal ... FAILED
test feature_45_precedence_with_others ... FAILED
test feature_45_relative_cwd ... FAILED
test feature_68_no_ignore_vcs ... FAILED
test feature_7 ... ok
test feature_70_smart_case ... FAILED
test feature_7_dash ... FAILED
test feature_89_count ... FAILED
test feature_89_files ... FAILED
test feature_89_files_with_matches ... FAILED
test feature_89_files_without_matches ... FAILED
test feature_89_match ... FAILED
test file_type_add ... FAILED
test file_type_add_compose ... FAILED
test file_type_clear ... ok
test file_types ... FAILED
test file_types_all ... FAILED
test file_types_negate ... FAILED
test file_types_negate_all ... FAILED
test files ... FAILED
test files_with_matches ... FAILED
test files_without_matches ... FAILED
test glob ... FAILED
test glob_negate ... FAILED
test ignore_generic ... ok
test ignore_git ... ok
test ignore_git_parent ... ok
test ignore_git_parent_stop ... FAILED
test ignore_hidden ... ok
test count ... FAILED
test feature_109_case_sensitive_part1 ... ok
test dir ... FAILED
test feature_109_case_sensitive_part2 ... ok
test inverted ... ok
test inverted_line_numbers ... ok
test line_numbers ... ok
test literal ... ok
test max_filesize_parse_error_length ... ok
test max_filesize_parse_error_suffix ... ok
test max_filesize_parse_no_suffix ... FAILED
test max_filesize_suffix_overflow ... ok
test no_ignore ... FAILED
test no_ignore_hidden ... FAILED
test no_parent_ignore_git ... FAILED
test quiet ... ok
test regression_105_part1 ... FAILED
test regression_105_part2 ... FAILED
test regression_127 ... FAILED
test regression_128 ... FAILED
test regression_131 ... ok
test regression_156 ... ok
test regression_184 ... FAILED
test regression_16 ... ok
test regression_199 ... FAILED
test regression_206 ... FAILED
test regression_228 ... ok
test regression_229 ... ok
test regression_25 ... FAILED
test regression_251 ... FAILED
test regression_270 ... FAILED
test regression_279 ... FAILED
test regression_30 ... FAILED
test regression_391 ... FAILED
test regression_405 ... FAILED
test regression_428_color_context_path ... FAILED
test regression_49 ... ok
test regression_50 ... ok
test regression_64 ... FAILED
test regression_65 ... ok
test regression_67 ... FAILED
test regression_87 ... ok
test regression_90 ... FAILED
test regression_93 ... FAILED
test regression_99 ... ok
test replace ... ok
test replace_groups ... ok
test regression_428_unrecognized_style ... ok
test replace_named_groups ... ok
test single_file ... ok
test type_list ... ok
test unrestricted1 ... FAILED
test unrestricted2 ... FAILED
test unrestricted3 ... FAILED
test vimgrep ... FAILED
test with_filename ... ok
test with_heading ... ok
test with_heading_default ... ok
test word ... ok
test max_filesize_parse_k_suffix ... FAILED
test ignore_ripgrep ... ok
test max_filesize_parse_m_suffix ... FAILED
test ignore_ripgrep_parent_no_stop ... ok

failures:

---- feature_109_max_depth stdout ----

thread 'feature_109_max_depth' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

command: "C:\\Users\\mateo\\AppData\\Local\\Temp\\.tmp6n6su1\\workspace_l0\\target\\debug\\deps\\rg.exe" "far" "." "--maxdepth" "2"
cwd: C:\Users\mateo\AppData\Local\Temp\.tmp6n6su1\workspace_l0\target\debug\deps\ripgrep-tests\feature_109_max_depth\15

status: exit code: 0xc0000409

stdout: 

stderr: 
thread 'main' panicked at library\core\src\panicking.rs:218:5:
attempted to leave type `ignore::walk::Message` uninitialized, which is invalid
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace
thread caused non-unwinding panic. aborting.


==========

note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace

---- feature_129_context stdout ----

thread 'feature_129_context' panicked at tests\workdir.rs:227:13:


==========
command failed but expected success!

