"agent_id","level","static_passed","static_evaluated","static_pass_rate","live_passed","live_evaluated","live_pass_rate","delta","ratio"
"gru","L0","2","5","0.400000","1","8","0.125000","-0.275000","0.312500"
"gru","L1","2","5","0.400000","1","8","0.125000","-0.275000","0.312500"
"honeycomb","L0","2","5","0.400000","1","4","0.250000","-0.150000","0.625000"
"honeycomb","L1","2","5","0.400000","1","4","0.250000","-0.150000","0.625000"
"sweagent","L0","2","5","0.400000","0","4","0.000000","-0.400000","0.000000"
"sweagent","L1","2","5","0.400000","0","4","0.000000","-0.400000","0.000000"
